county_fips,capex_share_base,capex_share_post,capex_share_chg,ds_burden_base,ds_burden_post,ds_burden_chg,newdebt_share_base,newdebt_share_post,newdebt_share_chg,capex_level_cagr
08085,0.21234130837012158,0.2457319127027521,0.033390604332630525,0.016530054327232143,0.018701164645885105,0.002171110318652962,0.0896672571356355,0.01365222274597234,-0.07601503438966316,0.050186392917231926
08087,0.2890679672572955,0.11824435143242296,-0.17082361582487254,0.0,0.0,0.0,0.0003102619842373393,0.0008159991049174252,0.000505737120680086,0.058114359553249395
08091,0.11351809263437479,0.05447436438264144,-0.05904372825173335,0.0,0.0,0.0,0.36172554987099764,0.014120085645959991,-0.34760546422503763,-0.03759441868243807
08093,0.19310856866590534,0.0363554133128782,-0.15675315535302714,0.02513749559574499,0.022372774337017315,-0.002764721258727676,0.006517124935628503,0.012304807630452252,0.0057876826948237495,-0.18889560277562567
08095,0.14325209155923505,0.07102833713380476,-0.07222375442543029,0.007392545475167433,0.0,-0.007392545475167433,0.060102041245626826,,,-0.10492216353376049
08097,,,,0.023923635503842102,0.03783327280153594,0.01390963729769384,0.08538859287038808,0.009442479752211295,-0.07594611311817678,
08099,0.10460473205066123,0.025617928324329676,-0.07898680372633156,0.0012252247743560587,0.0,-0.0012252247743560587,,,,-0.11204260388576992
08101,0.07818719878836779,0.21447136601668862,0.13628416722832082,0.0569655881773764,0.07562358397625472,0.01865799579887832,,0.0075917456842691106,,0.29879867064774146
08103,0.22499243409372446,0.028282615645345493,-0.19670981844837898,0.0,0.0,0.0,,,,
08105,0.030479523387638933,0.07407159530105803,0.0435920719134191,0.0,0.0,0.0,0.00541610719328877,0.037565915191807756,0.032149807998518985,0.23105473858669412
08107,,0.003802830545524429,,0.0,0.0026591927893998488,0.0026591927893998488,,0.0016412399138099215,,
08109,0.03161635288877195,0.06871730898681962,0.037100956098047665,0.004934024600145209,0.0,-0.004934024600145209,,0.004048177255284422,,0.23768764552736332
08113,0.025279917306057928,0.10655826802821068,0.08127835072215275,0.0,0.00442787557423873,0.00442787557423873,,0.02516855029590111,,0.346627550407397
08117,0.14620084488679833,0.21665333645837528,0.07045249157157696,0.010604948913273392,0.015122038741793424,0.004517089828520032,0.001757339931129977,0.004000682085250033,0.002243342154120056,0.23048419591412062
08119,0.0033376793936835034,0.029221090061837224,0.025883410668153722,0.0,0.009077764106190203,0.009077764106190203,,0.013566573219327076,,0.5147876533135258
08121,0.08795627878326157,0.16044019361199802,0.07248391482873645,0.04872754217702422,0.0,-0.04872754217702422,0.013820157747820343,,,0.15015737139200458
08123,,,,0.0,0.0,0.0,0.00041697557171286746,0.017337061081706812,0.016920085509993944,
08125,,,,0.07329738620458431,0.05449064979090829,-0.01880673641367602,,,,
10001,0.1495630260895609,0.02917340052152465,-0.12038962556803626,0.024270748229333935,0.019677749078706494,-0.0045929991506274415,0.14364059972823198,,,-0.19633480075960874
10003,0.119170249726769,0.10704031589647228,-0.012129933830296716,0.08373263976169283,0.062343352664995876,-0.021389287096696956,0.01095236267414511,0.024113489386401867,0.013161126712256757,0.02466522870274046
10005,0.08110461217198081,0.11207910774751534,0.030974495575534527,0.0,0.005039322686378966,0.005039322686378966,0.007669125802309652,,,0.07359838360500248
12001,0.5382546502201613,0.15860929354643938,-0.3796453566737219,0.020912903062043024,0.04119711588571261,0.020284212823669583,,,,0.3162483923694246
12003,0.02135185471117269,0.14878027927929074,0.12742842456811806,0.012486676296892023,0.008359750713027626,-0.004126925583864398,,,,0.47410599115807583
12009,0.008422212083144245,0.011380084145883413,0.0029578720627391683,0.07261834360085821,0.030056722947765,-0.04256162065309321,0.0020219054494840126,0.006421150473841352,0.0043992450243573395,0.0996608866132842
12011,0.11233419470839431,0.1972027057857244,0.0848685110773301,0.02686442131138535,0.03482507456841133,0.007960653257025978,,,,0.06585694906314732
12013,0.11362174721503174,0.13787814493895975,0.024256397723928014,0.00413373314499984,0.0,-0.00413373314499984,,,,0.028873063630342033
12015,,0.08762421819056365,,,0.0,,,,,
12017,0.03660529171257452,0.023709222493157284,-0.012896069219417234,0.05514720829532637,0.03687524789112596,-0.018271960404200413,0.0773298198553601,0.004385757255880332,-0.07294406259947976,-0.01755958955233783
12019,0.1114661209004195,0.2626737748505295,0.15120765395011,0.060417388532200696,0.030487667773441026,-0.02992972075875967,,,,0.25320853184454317
