county_fips,name,state,mw_latest,dc_share_mid,n_dc,n_crypto,first_op_year,n_oper_by_2022,dc_class,treated_by_2022,oil_confound,pt_2017,pt_2022,pt_2017_src,pt_2022_src,pt_growth_pct
51087,Henrico County,VA,316.3571096,3.934418010237838,22,0,2010.0,9,clean_dc,True,False,402.026,556.115,census,census,38.32811808191509
48389,Reeves County,TX,50.0,3.849885273418853,1,1,2022.0,1,crypto,True,True,14.635,102.63,census,census,601.2640929279125
36063,Niagara County,NY,265.5,3.8020581235160513,5,4,2021.0,2,mixed,True,False,86.278,96.71,census,census,12.09114722177147
19153,Polk County,IA,724.7114536,3.7627371525351214,36,1,2013.0,22,mixed,True,False,209.763,268.74,census,census,28.116016647359167
51047,Culpeper County,VA,46.10212,3.594595100347747,33,0,2008.0,7,clean_dc,True,False,60.824,69.991,census,census,15.071353413126399
48355,Nueces County,TX,420.30736,3.387128010727732,6,4,2023.0,0,mixed,False,False,108.949,132.775,census,census,21.86894785633646
31081,Hamilton County,NE,15.15,3.207706965911497,2,1,2011.0,1,mixed,True,False,3.652,5.485,census,census,50.191675794085434
39045,Fairfield County,OH,100.0,2.9794359331891287,7,0,2024.0,0,clean_dc,False,False,27.079,47.774,census,census,76.42453561800657
48003,Andrews County,TX,50.0,2.9254478860713578,2,2,2022.0,2,crypto,True,False,25.711,30.893,census,census,20.154797557465677
37035,Catawba County,NC,83.44,2.8976045450441377,18,0,2011.0,3,clean_dc,True,False,102.448,125.138,census,census,22.147821333749818
51193,Westmoreland County,VA,12.0,2.8390271600264976,1,0,2020.0,1,clean_dc,True,False,17.089,24.796,census,census,45.09918661127041
41067,Washington County,OR,527.98753,2.7842803098217805,53,0,2002.0,18,clean_dc,True,False,199.849,250.729,census,census,25.459221712392875
26027,Cass County,MI,29.0,2.753826869753485,1,1,2021.0,1,crypto,True,False,13.717,15.962,census,census,16.3665524531603
47105,Loudon County,TN,20.0,2.7485364043646756,1,1,2023.0,0,crypto,False,False,27.841,34.872,census,census,25.254121619194713
21145,McCracken County,KY,23.0,2.658590715738857,3,3,2021.0,2,crypto,True,False,4.322,5.195,census,census,20.198981952799635
04013,Maricopa County,AZ,2042.7420747,2.413662077136343,220,0,2001.0,45,clean_dc,True,False,592.884,776.251,census,census,30.927972419562664
13145,Harris County,GA,14.0,2.214559144547439,1,1,2022.0,1,crypto,True,False,8.548,16.476,census,census,92.74684136640148
32031,Washoe County,NV,193.0996533,2.1604346979189972,12,0,2013.0,8,clean_dc,True,False,190.723,252.743,census,census,32.518364329420145
42079,Luzerne County,PA,170.0,2.125738694196233,14,1,2023.0,0,mixed,False,False,117.001,125.68,census,census,7.417885317219519
18141,St. Joseph County,IN,128.114,2.0459612252068093,19,0,2003.0,5,clean_dc,True,False,56.749,63.914,census,census,12.62577314137694
49049,Utah County,UT,183.916,1.935542262503631,12,0,2013.0,6,clean_dc,True,False,46.728,69.729,census,census,49.223163841807896
45087,Union County,SC,9.0,1.884264299472406,1,1,2023.0,0,crypto,False,False,12.225,15.907,census,census,30.118609406952967
48461,Upton County,TX,15.0,1.843567179588024,2,2,2022.0,1,crypto,True,False,13.545,28.281,TX_Comptroller,TX_Comptroller,108.79291251384275
19083,Hardin County,IA,10.15,1.690821256038647,3,2,2023.0,0,mixed,False,False,7.603,10.201,census,census,34.17072208338814
29047,Clay County,MO,94.5955,1.6484589834832586,12,0,2014.0,4,clean_dc,True,False,8.921,7.078,census,census,-20.659118932855048
55101,Racine County,WI,90.0,1.571783345383672,6,0,2024.0,0,clean_dc,False,False,51.966,66.324,census,census,27.62960397182772
48277,Lamar County,TX,20.0,1.518925815663163,1,1,2025.0,0,crypto,False,False,11.809,14.972,census,census,26.784655771022116
18127,Porter County,IN,60.0,1.4997825315329278,2,0,2024.0,0,clean_dc,False,False,38.235,46.566,census,census,21.78893683797569
19075,Grundy County,IA,5.4545455,1.4742014864864867,1,1,2017.0,1,crypto,True,False,5.506,7.233,census,census,31.36578278241917
39049,Franklin County,OH,629.24428,1.427854361842574,53,0,2001.0,21,clean_dc,True,False,416.877,651.226,census,census,56.215382474926656
45083,Spartanburg County,SC,95.1,1.4239724489031969,5,3,2022.0,1,mixed,True,False,104.285,130.218,census,census,24.86743059883971
36089,St. Lawrence County,NY,50.0,1.4095942623875144,1,1,2021.0,1,crypto,True,False,48.809,52.732,census,census,8.03745210924216
01075,Lamar County,AL,1.5,1.3628929674722878,1,0,2018.0,1,clean_dc,True,False,1.903,2.403,census,census,26.27430373095112
08085,Montrose County,CO,10.0,1.339369424874769,1,1,2022.0,1,crypto,True,False,13.645,15.34,census,census,12.422132649322105
47113,Madison County,TN,20.05,1.2523892213324672,2,1,2025.0,0,mixed,False,False,48.483,53.22,census,census,9.770434997834299
51061,Fauquier County,VA,33.689,1.2205628740779386,9,0,2014.0,4,clean_dc,True,False,136.699,175.652,census,census,28.495453514656276
13121,Fulton County,GA,502.8330698,1.214393113385171,88,1,2001.0,25,mixed,True,False,529.029,708.614,census,census,33.94615418058369
13157,Jackson County,GA,18.0,1.1572139431422217,2,2,2022.0,1,crypto,True,False,27.623,35.809,census,census,29.634724685950097
13285,Troup County,GA,14.0,1.1239563262684649,3,1,2022.0,1,mixed,True,False,23.007,30.573,census,census,32.88564349980441
16001,Ada County,ID,105.458,1.0514802362634952,19,0,2000.0,5,clean_dc,True,False,110.576,140.369,census,census,26.943459701924468
32003,Clark County,NV,389.479528,1.045933048172918,44,0,2000.0,21,clean_dc,True,False,660.79,935.733,census,census,41.60822651674512
49035,Salt Lake County,UT,269.8968,1.0168277761912548,29,0,2006.0,11,clean_dc,True,False,302.267,368.992,census,census,22.074854350623795
45091,York County,SC,72.9,1.0142862708213911,12,0,2014.0,1,clean_dc,True,False,97.44,92.805,census,census,-4.756773399014769
