county_fips,lt_debt_outstanding_end,rev_property_tax
27153,2.32,12.729
27155,6.685,4.717
27157,15.115,13.557
27159,2.843,9.975
27161,3.325,13.546
27163,177.01,94.098
27165,9.625,4.781
27167,1.545,7.499
27169,7.225,20.145
27171,62.201,55.662
27173,,9.566
28001,30.074,14.453
28003,20.41,7.799
28005,,3.944
28007,7.2,7.462
28009,0.103,2.545
28011,6.809,15.083
28013,,5.13
28015,3.329,4.616
28017,12.491,4.757
28019,9.425,2.363
28021,8.024,3.93
28023,,7.914
28025,14.015,5.569
28027,,7.43
28029,38.435,10.536
28031,14.583,8.292
28033,85.277,61.75
28035,167.414,30.117
28037,0.708,2.778
28039,22.031,8.696
28041,4.554,5.936
28043,19.539,5.738
28045,31.057,22.066
28047,151.607,58.102
28049,46.785,60.927
28051,5.956,7.317
28053,,6.633
28055,1.025,1.759
28057,8.575,6.442
28059,123.757,82.504
28061,1.555,10.492
28063,0.169,3.438
28065,1.154,5.91
28067,82.563,22.692
28069,6.36,4.617
28071,5.885,14.359
28073,5.601,26.362
28075,30.422,27.521
28077,1.924,6.12
28079,3.356,5.393
28081,22.718,19.811
28083,10.33,14.686
28085,5.41,9.996
28087,60.592,18.729
28089,91.652,46.202
28091,9.514,9.51
28093,5.101,15.293
28095,11.856,13.875
28097,1.627,3.843
28099,,8.861
28101,2.114,6.362
28103,1.193,4.38
28105,38.944,16.759
28107,6.03,13.913
28109,8.23,17.102
28111,4.515,5.222
28113,14.507,13.715
28115,9.872,10.045
28117,4.989,5.946
28119,,6.152
28121,43.158,44.974
28123,9.11,9.315
28125,0.55,3.166
28127,10.175,9.146
28129,3.245,7.289
28131,1.92,7.044
28133,8.005,9.643
28135,4.296,2.808
28137,7.673,11.017
28139,0.717,5.853
28141,15.562,10.433
28143,13.613,7.566
28145,1.926,7.387
28147,,4.884
28149,3.615,19.795
28151,55.786,22.686
28153,5.98,5.21
28155,0.557,3.542
28157,2.4,3.739
28159,,4.291
28161,3.68,4.675
28163,15.715,10.757
29001,0.554,0.756
29003,0.143,2.145
29005,,1.873
29007,0.639,3.621
29009,,1.485
29011,15.222,0.91
29013,1.964,0.961
29015,,0.85
29017,,0.871
29019,14.876,5.02
29021,0.94,6.618
29023,0.545,1.485
29025,1.955,0.217
29027,0.052,5.272
29029,9.773,4.122
29031,2.99,9.665
29033,,0.706
29035,,0.239
29037,91.614,6.328
29039,,0.602
29041,,0.672
29043,2.1,11.52
29045,3.446,0.953
29047,3.923,8.921
29049,,2.912
29051,17.657,5.931
29053,0.745,1.349
29055,,3.568
29057,,0.167
29059,0.164,0.69
29061,0.043,0.314
29063,1.3,0.283
29065,,0.734
29067,0.426,0.584
29069,,0.131
29071,34.24,5.271
29073,,1.569
29075,0.059,0.508
29077,40.02,16.567
29079,5.099,1.41
29081,,0.441
29083,7.306,0.996
29085,,0.518
29087,,0.625
29089,0.036,0.636
29091,,0.879
29093,,0.221
29095,469.805,53.208
29097,,3.385
29099,20.511,10.531
29101,7.665,3.509
29103,1.953,0.692
29105,1.0,0.692
29107,4.95,1.37
29109,,1.37
29111,0.238,0.668
29113,4.76,3.109
29115,,0.197
29117,,0.286
29121,8.6,1.391
29123,2.81,0.85
29125,,1.029
29127,0.96,1.986
29129,,0.003
29131,,1.172
29133,,1.53
29135,,1.127
29137,,0.612
29139,0.053,1.701
29141,0.046,0.93
29143,,1.355
29145,,1.331
29147,3.879,1.037
29149,,0.448
29151,1.414,1.187
29153,0.037,0.72
29155,1.245,1.176
29157,2.536,0.971
29159,1.124,2.027
29161,70.1,1.898
29163,1.96,1.445
29165,29.56,4.728
29167,,1.471
29169,,1.042
29171,2.466,0.682
29173,0.88,1.249
29175,2.8,3.048
29177,0.272,0.586
29179,0.048,0.963
29181,6.952,1.922
29183,38.375,19.981
29185,,0.846
29186,9.145,2.528
29187,1.9,3.311
29189,550.987,109.736
29195,,2.103
29197,,0.459
29199,,1.291
29201,,0.585
29203,,0.116
29205,,0.922
29207,,0.054
29209,2.869,1.076
29211,,0.243
29213,12.365,11.97
29215,11.645,8.973
29217,6.405,0.64
29219,,1.485
29221,3.851,1.388
29223,,0.509
29225,,0.661
29227,,0.855
29229,,0.152
30001,1.38,5.305
30003,,9.91
30005,,5.466
30007,0.02,3.392
30009,,7.35
30011,,5.055
30013,3.454,36.564
30015,0.197,4.981
30017,7.321,6.154
30019,0.58,1.781
30021,,5.861
30025,,6.642
30027,2.558,7.11
30029,10.621,50.146
30031,43.331,50.036
30033,0.231,1.716
30035,2.02,9.623
30037,,0.895
30039,,2.741
30041,0.448,9.797
30043,2.49,7.908
30045,,2.421
30047,3.605,17.369
30049,10.04,36.401
30051,0.107,2.412
30053,,8.075
30055,0.546,3.208
30057,3.623,11.346
30059,,2.077
30061,,2.474
30063,86.575,62.046
30065,,3.356
30067,0.827,8.126
30069,0.12,0.575
30071,,0.957
30073,0.437,4.744
30075,0.394,2.411
30077,,3.203
30079,0.115,1.165
30081,5.805,17.133
30083,,7.539
30085,12.001,7.078
30087,,8.897
30089,0.077,8.011
30091,,3.127
30095,0.119,7.285
30097,0.813,4.499
30099,0.551,4.988
30101,0.875,4.437
30103,,0.868
30105,2.051,6.244
30107,,2.875
30109,,2.029
30111,3.654,67.267
31001,3.775,10.583
31003,5.88,4.587
31005,0.107,0.488
31007,,1.009
31009,0.185,0.571
31011,,4.001
31013,7.119,4.137
31015,,1.168
31017,3.882,2.774
31019,28.666,15.472
31021,0.15,5.088
31023,9.491,3.7
31025,,14.181
31027,0.36,4.481
31029,1.187,2.826
31031,,4.722
31033,,6.723
31035,,4.006
31037,,6.794
31039,,2.755
31041,2.645,6.108
31043,4.339,5.586
31045,0.585,3.411
31047,,10.505
31049,0.157,6.666
31051,,3.291
31053,16.728,7.975
31055,44.963,114.603
31057,1.789,1.906
31059,20.904,3.979
31061,2.51,2.441
31063,,1.963
31065,2.944,2.061
31067,4.04,9.551
31069,3.524,2.662
31071,,1.311
31073,,2.012
31077,,1.576
31079,12.85,21.314
31081,4.06,3.652
31083,2.178,4.305
31085,0.146,0.972
31087,0.055,2.135
31089,3.623,8.332
31091,0.472,0.754
31093,3.573,2.159
31095,12.045,6.14
31097,,2.285
31099,0.325,3.184
31101,,4.048
31103,,1.104
31105,2.065,3.253
31107,,3.4
31109,,64.588
31111,11.845,13.7
31113,,0.775
31115,0.184,0.611
31117,0.015,0.55
31119,1.464,12.406
31121,1.795,3.693
31123,0.105,3.151
31125,,2.447
31127,2.418,3.666
31129,,2.649
31131,5.48,6.493
31133,0.215,2.658
31135,,3.518
31137,1.215,5.452
31139,0.81,3.672
31141,8.765,9.751
31143,2.195,2.414
31145,6.322,3.839
31147,5.195,4.74
31149,1.095,1.601
31151,14.055,6.905
31153,,38.999
31155,23.726,10.55
31157,11.205,10.525
31159,9.99,7.598
31161,,3.434
31163,,10.455
31165,,0.866
31167,2.4,3.296
31169,4.147,18.913
31171,0.777,0.752
31173,,2.524
31175,17.613,2.377
31177,3.457,11.565
31179,4.167,4.4
31181,3.07,3.109
31183,,1.147
31185,2.32,7.366
32001,8.848,8.157
32003,10794.903,660.79
32005,40.159,36.091
32007,1.316,15.783
32009,0.911,1.824
32011,,11.631
32013,,14.501
32015,,31.019
32017,0.454,3.125
32019,18.923,12.285
32021,5.02,3.581
32023,21.69,22.908
32027,0.71,3.36
32029,1.807,12.412
32031,663.094,190.723
32033,0.208,9.641
33001,7.065,12.963
33003,17.105,17.624
33005,20.65,23.898
33007,0.601,15.05
33009,30.864,23.986
33011,,53.087
33013,51.703,44.404
33015,6.145,46.917
33017,12.416,30.86
33019,4.289,13.263
34001,12.492,171.658
34003,191.221,405.044
34005,287.176,155.5
34007,84.782,306.139
34009,47.89,114.948
34011,163.768,91.498
34013,1109.241,422.911
34015,218.853,150.639
34017,544.555,337.344
34019,,67.774
34021,546.655,257.12
34023,770.559,371.588
34025,457.751,302.626
34027,361.525,234.236
34029,303.303,369.772
34031,393.453,344.653
34033,43.456,53.141
34035,283.222,185.84
34037,31.819,93.242
34039,673.308,345.275
34041,8.181,77.268
35001,224.835,150.143
35003,1.289,1.342
35005,7.188,10.492
35006,5.866,3.976
35007,0.571,5.338
35009,17.123,8.223
35011,0.939,0.899
35013,,43.062
35015,,45.241
35017,58.43,8.73
35019,0.981,1.845
35021,0.125,1.184
35023,0.959,2.808
35025,6.365,28.279
35027,,11.063
35028,91.55,7.02
35029,20.723,6.716
35031,,9.947
35033,2.245,1.214
35035,80.4,10.069
35037,1.067,2.284
35039,,11.755
35041,3.345,8.487
35043,70.583,29.839
35045,47.56,24.16
35047,14.634,4.455
35049,195.354,68.811
35051,8.655,3.266
35053,10.701,3.223
35055,40.423,11.771
35057,1.159,5.013
35059,4.948,1.525
35061,13.112,13.189
36001,179.795,94.527
36003,25.88,31.688
36007,66.35,74.915
36009,40.385,53.938
36011,57.07,40.365
36013,48.685,62.688
36015,49.003,32.474
36017,,27.151
36019,16.3,23.419
36021,39.222,41.332
36023,28.566,34.804
36025,4.975,32.293
36027,101.785,113.365
36029,488.093,280.711
36031,38.96,23.208
36033,1.93,17.523
36035,0.006,28.466
36037,21.365,27.748
36039,14.985,25.441
36041,,7.882
36043,6.9,28.241
36045,13.63,57.646
36049,8.69,15.749
36051,47.972,28.106
36053,7.375,37.562
36055,722.276,327.688
36057,32.116,28.293
36059,3645.754,970.44
36063,92.736,86.278
36065,171.127,70.457
36067,626.912,145.178
36069,24.99,54.969
36071,329.298,130.334
36073,11.695,17.077
36075,10.25,50.77
36077,18.165,13.011
36079,60.59,44.49
36083,122.562,66.114
36087,612.817,166.285
36089,30.275,48.809
36091,60.63,56.93
36093,81.627,73.022
36095,,23.028
36097,2.685,11.846
36099,16.005,10.065
36101,39.653,43.886
36103,2564.729,662.616
36105,165.407,63.705
36107,15.225,24.662
36109,58.671,44.271
36111,134.334,79.993
36113,33.27,43.024
36115,15.755,33.304
36117,23.533,39.659
36119,1903.961,694.597
36121,40.419,19.499
36123,11.625,16.597
37001,57.682,82.648
37003,13.701,21.461
37005,4.93,8.793
37007,5.127,
37009,9.819,17.487
37011,3.566,16.852
37013,53.837,35.774
37015,38.839,11.176
37017,35.342,24.007
37019,208.861,119.82
37021,427.853,201.907
37023,55.051,48.236
37025,320.241,158.094
37027,38.2,46.11
37029,3.166,8.414
37031,41.858,58.937
37033,7.965,11.304
37035,236.718,102.448
37037,106.766,72.96
37039,10.702,17.213
37041,12.006,11.809
37043,8.604,8.507
37045,63.27,61.375
37047,26.432,10.558
37049,62.976,52.169
37051,118.086,193.275
37053,24.588,31.077
37055,151.343,61.272
37057,109.4,85.289
37059,64.392,35.157
37061,65.011,31.514
37063,479.264,272.249
37065,25.005,32.29
37067,566.65,254.357
37069,8.347,16.713
37071,194.321,143.984
37073,3.223,6.813
37075,5.764,6.713
37077,61.584,39.426
37079,19.547,2.814
37081,811.711,379.032
37083,53.548,32.43
37085,195.009,22.966
37087,39.772,47.693
37089,157.629,85.314
37091,13.021,13.871
37093,56.006,6.348
37095,4.874,7.506
37097,199.024,127.936
37099,30.565,34.27
37101,495.664,131.884
37103,3.276,6.796
37105,70.414,44.531
37107,57.69,37.309
37109,103.298,60.667
37111,11.788,23.531
37113,37.651,31.598
37115,12.415,12.723
37117,23.777,14.909
37119,1477.122,1030.471
37121,0.857,9.374
37123,25.917,19.77
37125,105.235,63.419
37127,50.884,53.619
37129,764.44,200.358
37131,16.431,4.357
37133,231.392,93.509
37135,182.753,155.548
37137,5.785,11.186
37139,42.133,23.584
37141,174.461,56.837
37143,13.774,8.189
37145,10.637,32.079
37147,157.457,91.415
37149,18.192,16.687
37151,70.035,77.67
37153,37.412,26.844
37155,36.695,55.621
37157,69.5,55.21
37159,87.735,86.248
37161,38.226,41.523
37163,53.887,13.626
37165,4.863,23.092
37167,27.5,33.775
37169,27.713,27.349
37171,56.689,34.196
37173,7.605,5.976
37175,3.944,32.358
37177,5.835,3.756
37179,402.88,190.061
37181,17.018,24.712
37183,2039.708,872.113
37185,15.298,19.97
37187,4.851,7.634
37189,39.074,31.717
37191,83.679,57.791
37193,46.783,40.105
37195,30.827,51.532
37197,30.298,21.976
37199,4.724,27.65
38001,,1.571
38003,0.696,6.649
38005,,2.343
38007,,2.198
38009,1.31,3.67
38011,0.092,0.478
38013,,1.961
38015,52.045,20.521
38017,126.327,37.731
38019,0.701,3.848
38021,0.75,3.816
38023,1.198,2.062
38025,,2.91
38027,,1.266
38029,,2.876
38031,0.048,2.17
38033,,0.701
38035,13.228,22.383
38037,,2.03
38039,0.022,4.931
38041,0.209,1.644
38043,,0.525
38045,0.07,2.944
38047,0.013,1.343
38049,,3.109
38051,,1.498
38053,52.018,7.631
38055,5.256,3.614
38057,,3.059
38059,0.749,14.512
38061,,4.122
38063,0.756,2.332
38065,0.262,1.302
38067,,4.453
38069,0.102,2.352
38071,0.327,5.344
38073,0.023,2.6
38075,,1.175
38077,1.215,8.476
38079,,1.883
38081,0.354,3.143
38083,,11.231
38085,,0.496
38087,,0.36
38089,1.762,16.379
38091,,2.707
38093,6.9,9.529
38095,,2.292
38097,8.449,6.364
38099,0.975,6.524
38101,47.595,20.357
38103,0.498,1.228
38105,10.552,14.133
39001,5.072,5.13
39003,31.473,11.468
39005,0.647,7.257
39007,26.273,16.376
39009,2.845,21.332
39011,1.171,6.7
39013,5.041,16.573
39015,1.572,4.034
39017,95.326,54.43
39019,3.307,4.658
39021,0.387,4.933
39023,9.077,20.927
39025,10.722,37.234
39027,8.853,7.789
39029,22.429,10.506
39031,1.491,7.993
39033,12.458,7.027
39035,1252.356,342.802
39037,6.108,5.875
39039,3.005,6.839
39041,93.904,30.341
39043,36.973,11.015
39045,23.138,27.079
39047,6.503,4.285
39049,416.341,416.877
39051,1.594,8.084
39053,8.827,3.629
39055,4.682,31.163
39057,162.833,38.757
39059,10.736,8.199
39061,1319.382,236.462
39063,11.216,11.872
39065,0.318,4.578
39067,1.186,8.511
39069,0.152,3.58
39071,3.827,5.115
39073,3.606,8.512
39075,8.228,6.517
39077,5.095,10.423
39079,2.01,3.273
39081,28.099,10.775
39083,10.055,16.52
39085,21.554,48.083
39087,2.507,4.879
39089,,27.107
39091,52.9,7.3
39093,16.665,49.738
39095,90.188,98.365
39097,2.145,5.936
39099,64.296,34.18
39101,18.435,2.773
39103,3.883,30.476
39105,1.199,3.214
39107,12.582,2.373
39109,,13.851
39111,17.038,2.673
39113,79.146,134.362
39115,1.685,2.046
39117,15.923,7.821
39119,,16.332
39121,2.394,3.716
39123,18.779,8.911
39125,5.212,3.377
39127,14.21,6.386
39129,5.511,7.767
39131,8.72,5.587
39133,33.4,26.893
39135,1.56,4.765
39137,2.731,6.248
39139,20.777,21.893
39141,6.463,11.5
39143,1.515,8.904
39145,28.532,8.48
39147,4.702,5.634
39149,2.769,6.712
39151,12.259,58.911
39153,108.91,124.719
39155,37.716,33.781
39157,5.504,11.049
39159,36.016,16.633
39161,6.531,4.172
39163,1.833,2.553
39165,31.263,11.077
39167,3.565,9.07
39169,7.686,15.798
39171,5.378,5.392
39173,6.146,27.933
39175,2.209,6.951
40001,,1.53
40003,2.091,1.24
40005,,1.192
40007,,1.657
40009,,4.099
40011,,1.372
40013,2.149,4.627
40015,,2.401
40017,4.081,16.047
40019,1.845,5.58
40021,,1.699
40023,,1.291
40025,,0.603
40027,,21.137
40031,95.598,8.955
40033,,0.603
40035,,7.63
40037,,8.284
40039,0.437,2.336
40041,,3.012
40043,,1.22
40045,,0.82
40049,,0.637
40051,,4.927
40053,,0.522
40055,6.267,0.812
40057,,4.217
40059,,0.727
40061,6.595,4.423
40063,,1.366
40065,0.18,1.985
40067,,0.442
40069,,0.987
40071,,5.214
40073,,17.481
40075,0.13,
40077,,5.362
40079,,4.023
40081,,33.234
40085,8.465,8.541
40087,,3.438
40089,,3.818
40091,,1.349
40093,,1.256
40095,,1.455
40099,13.66,1.192
40101,2.813,6.907
40103,,16.558
40105,,0.811
40107,,0.739
40109,38.69,84.762
40111,,1.782
40113,,4.09
40115,0.01,2.466
40117,,8.911
40119,,12.908
40121,3.796,4.07
40123,,3.042
40125,,4.619
40127,4.081,2.082
40129,,2.407
40131,,10.677
40133,,2.223
40135,,2.993
40137,,4.723
40139,0.368,
40141,2.735,0.467
40143,77.35,151.434
40145,,6.929
40147,,6.021
40149,11.765,1.697
40151,,15.613
40153,,2.62
41001,,5.541
41003,15.298,26.936
41005,290.181,163.582
41007,3.225,12.664
41009,16.775,12.509
41011,6.925,10.557
41013,0.391,7.874
41015,0.122,2.09
41017,58.611,61.253
41019,0.279,10.002
41021,1.749,4.135
41023,,1.836
41025,,2.624
41027,4.74,5.124
41029,26.267,41.407
41031,7.805,7.49
41033,,5.828
41035,0.08,12.918
41037,,4.05
41039,86.486,52.117
41041,2.592,23.599
41043,,33.842
41045,,5.769
41047,63.459,68.203
41049,2.391,7.554
41051,237.637,359.043
41053,2.077,14.008
41055,,4.206
41057,,14.869
41059,12.061,15.0
41061,3.32,5.14
41063,,2.147
41065,,11.845
41067,464.062,199.849
41071,7.609,21.444
42001,57.07,33.417
42003,841.195,353.901
42005,51.708,18.314
42007,135.268,48.172
42009,28.128,9.958
42011,209.284,139.797
42013,22.35,23.12
42015,1.76,11.468
42017,272.254,191.849
42019,40.11,43.24
42021,47.908,43.536
42023,0.187,1.761
42025,12.686,17.092
42027,30.68,27.001
42029,501.46,157.693
42031,5.427,8.197
42033,0.435,10.579
42035,21.422,12.184
42037,8.44,12.228
42039,10.537,22.772
42041,45.831,51.34
42043,,105.06
42045,310.062,171.942
42047,4.301,7.565
42049,70.305,73.241
42051,15.725,21.697
42053,0.053,1.663
42055,30.767,39.173
42057,4.477,4.899
42059,9.285,13.037
42061,6.891,8.83
42063,52.36,21.995
42065,22.926,9.783
42067,1.026,5.601
42069,217.234,80.162
42071,218.787,119.378
42073,36.795,25.022
42075,17.485,32.246
42077,115.467,110.888
42079,236.265,117.001
42081,54.153,32.295
42083,7.98,11.031
42085,23.905,29.952
42087,13.335,12.541
42089,44.44,46.528
42091,390.024,191.922
42093,0.13,4.171
42095,100.597,96.604
42097,29.371,17.989
42099,,10.093
42103,26.302,21.163
42105,0.068,5.611
42107,19.765,35.985
42109,1.63,8.974
42111,27.255,17.905
42113,1.713,2.421
42115,,8.242
42117,,12.265
42119,17.435,10.256
42121,3.801,11.497
42123,2.755,9.557
42125,21.173,41.12
42127,18.215,19.072
42129,105.534,81.977
42131,7.375,8.685
42133,258.241,140.372
45001,4.464,8.349
45003,97.289,56.697
45005,15.008,4.272
45007,10.91,48.423
45009,,5.261
45011,21.954,6.356
45013,191.421,97.751
45015,212.72,28.773
45017,1.791,6.215
45019,634.064,148.891
45021,5.34,11.807
45023,5.229,10.326
45025,12.941,15.123
45027,26.308,16.067
45029,35.223,18.008
45031,1.804,20.583
45033,,11.055
45035,122.082,47.453
45037,0.118,4.446
45039,28.218,26.262
45041,183.018,36.023
45043,66.416,51.898
45045,130.334,143.048
45047,,18.954
45049,8.97,10.212
45051,244.197,140.924
45053,44.184,18.547
45055,55.073,14.571
45057,41.744,29.695
45059,9.403,22.761
45061,3.968,5.014
45063,38.631,112.7
45065,,6.677
45067,16.262,10.4
45069,10.818,8.939
45071,10.183,20.851
45073,15.285,37.934
45075,87.655,32.921
45077,12.14,29.521
45079,158.793,150.126
45081,2.381,11.88
45083,98.376,104.285
45085,10.332,33.49
45087,5.201,12.225
45089,22.273,15.125
45091,151.29,97.44
46003,,1.873
46005,,5.888
46007,0.122,1.652
46009,,0.317
46011,1.278,11.382
46013,,14.104
46015,,1.96
46017,0.213,0.505
46019,,2.96
46021,,1.356
46023,,4.014
46025,0.056,2.655
46027,,4.691
46029,,7.667
46031,,1.287
46033,4.075,4.126
46035,1.815,6.185
46037,,3.169
46039,,2.639
46041,0.15,1.345
46043,0.404,1.78
46045,,2.892
46047,0.001,3.075
46049,6.858,2.867
46051,0.795,4.137
46053,,2.734
46055,,1.27
46057,,2.319
46059,,2.194
46061,4.624,1.82
46063,,1.347
46065,7.62,9.552
46067,,2.804
46069,,1.47
46071,,0.862
46073,1.867,1.524
46075,,0.839
46077,,2.289
46079,0.123,4.009
46081,,9.738
46083,13.506,10.264
46085,,2.26
46087,0.042,3.495
46089,,1.766
46091,0.472,3.369
46093,2.076,9.79
46095,,0.877
46097,,2.74
46099,30.701,47.649
46101,,3.239
46102,,0.28
46103,64.341,38.001
46105,,1.825
46107,,3.289
46109,9.168,3.88
46111,0.282,2.054
46115,0.284,3.241
46117,,1.617
46119,0.54,2.335
46121,,0.684
46123,,3.075
46125,1.123,5.037
46127,0.665,6.255
46129,,2.099
46135,8.006,6.624
46137,0.428,0.8
47001,52.841,31.485
47003,50.186,13.822
47005,13.873,6.452
47007,18.473,3.304
47009,853.938,51.198
47011,56.03,37.693
47013,39.093,13.587
47015,5.454,3.724
47017,,5.476
47019,25.974,14.568
47021,2.047,22.067
47023,8.78,4.065
47025,4.613,13.729
47027,5.211,2.313
47029,30.454,9.849
47031,73.78,23.592
47033,8.238,4.717
47035,47.205,20.488
47039,13.55,3.562
47041,7.383,6.245
47043,40.568,28.01
47045,36.139,12.516
47047,30.203,10.19
47049,3.719,6.261
47051,23.983,20.492
47053,15.37,7.826
47055,2.297,10.608
47057,2.41,8.523
47059,,17.404
47061,12.917,4.604
47063,27.23,27.172
47065,468.96,278.446
47067,13.627,1.736
47069,24.104,8.119
47071,53.994,12.336
47073,72.566,22.673
47075,15.802,9.935
47077,29.13,7.388
47079,35.268,9.253
47081,24.843,9.519
47083,10.147,2.39
47085,1.594,8.372
47087,8.859,4.588
47089,82.734,17.089
47091,11.514,3.627
47093,680.334,334.583
47095,4.401,1.391
47097,7.018,10.479
47099,30.19,15.679
47101,0.755,2.72
47103,17.199,8.831
47105,21.333,27.841
47107,,10.988
47109,6.136,8.38
47111,13.051,6.016
47113,304.005,48.483
47115,30.082,9.636
47117,33.385,15.6
47119,147.295,38.437
47121,1.486,3.528
47123,53.243,18.823
47125,306.434,114.851
47129,17.844,8.982
47131,11.699,8.929
47133,13.215,6.798
47135,5.522,3.065
47137,0.031,2.641
47139,13.131,7.873
47141,133.41,43.747
47143,18.173,14.229
47145,37.587,23.334
47147,92.379,37.948
47149,404.592,146.7
47151,29.768,5.035
47153,5.854,4.918
47155,135.456,96.703
47157,1016.574,459.389
47159,24.234,5.97
47161,24.55,5.467
47163,,56.378
47165,158.01,85.643
47167,15.393,16.636
47171,21.366,6.151
47173,10.904,4.738
47175,2.402,2.098
47177,18.722,12.651
47179,171.56,47.007
47181,28.229,4.52
47183,13.062,9.842
47185,8.359,7.073
47187,610.656,250.739
47189,358.111,53.114
48001,1.63,16.1
48003,65.05,25.711
48005,4.18,17.536
48007,16.21,12.924
48009,4.873,2.964
48011,1.922,1.625
48013,2.465,17.171
48015,4.55,13.407
48017,2.696,3.18
48019,9.48,14.132
48021,56.757,31.69
48023,,1.327
48025,4.905,8.056
48027,127.275,67.457
48029,2665.705,754.479
48031,6.23,4.359
48033,1.883,2.161
48035,,20.178
48037,35.468,18.245
48039,78.93,116.481
48041,85.975,69.731
48043,3.75,2.246
48045,,1.682
48047,4.054,5.772
48049,5.325,13.622
48051,4.485,8.017
48053,20.625,19.34
48055,8.115,13.633
48057,7.205,16.89
48059,,2.953
48061,115.872,66.171
48063,,3.557
48065,0.396,6.642
48067,6.581,9.042
48069,,2.774
48071,55.175,43.814
48073,,14.736
48075,0.43,2.276
48077,,4.881
48079,,3.139
48081,,2.359
48083,0.091,3.324
48085,398.59,219.544
48087,,3.289
48089,5.445,9.892
48091,58.54,43.633
48093,0.995,5.287
48095,,2.992
48097,7.7,17.54
48099,1.514,12.062
48101,1.272,1.258
48103,,9.016
48105,,14.107
48107,0.608,1.366
48109,,3.268
48111,0.392,3.166
48113,987.323,982.731
48115,,5.917
48117,0.214,7.372
48119,0.546,1.226
48121,610.197,186.513
48123,,33.731
48125,,2.047
48127,2.24,4.515
48129,,1.925
48131,0.679,8.095
48133,1.897,4.262
48135,11.435,46.39
48137,2.372,2.17
48139,45.782,35.068
48141,576.83,264.856
48143,4.198,12.603
48145,0.35,6.348
48147,,9.409
48149,0.666,11.439
48151,0.4,0.898
48153,,2.315
48155,,0.985
48157,817.1,270.972
48159,0.681,5.936
48161,,8.077
48163,,5.209
48165,,24.966
48167,238.628,133.954
48169,0.463,2.797
48171,,9.629
48173,0.139,0.312
48175,0.779,1.751
48177,2.044,12.616
48179,0.525,9.014
48181,43.85,35.513
48183,,21.975
48185,0.332,14.047
48187,9.0,40.568
48189,2.5,9.497
48191,,1.264
48193,,5.28
48195,0.561,1.261
48197,0.412,0.925
48199,2.95,16.47
48201,4806.485,2519.721
48203,5.226,25.249
48205,0.166,2.553
48207,,2.589
48209,356.63,70.285
48211,,13.143
48213,,26.807
48215,338.275,209.574
48217,5.965,11.682
48219,9.465,16.348
48221,20.368,22.765
48223,2.964,10.826
48225,12.505,5.937
48227,9.395,12.342
48229,0.454,1.02
48231,5.98,26.251
48233,,11.416
48235,,6.138
48237,0.91,2.045
48239,0.395,6.748
48241,0.255,14.196
48243,,1.571
48245,36.07,80.401
48247,0.45,5.463
48249,1.585,13.154
48251,31.86,49.309
48253,,4.769
48255,1.362,5.019
48257,84.797,37.66
48259,8.598,18.815
48261,,0.198
48263,,4.213
48265,29.11,19.389
48267,,1.667
48269,,2.738
48271,,1.496
48273,4.525,11.516
48275,,1.351
48277,3.951,11.809
48279,,9.288
48281,6.685,8.089
48283,0.781,1.756
48285,1.16,9.598
48287,8.55,10.421
48289,2.596,3.943
48291,12.845,29.284
48293,14.04,15.339
48295,,5.252
48297,1.254,2.818
48299,1.665,11.931
48301,0.014,0.031
48303,86.447,82.406
48305,0.838,2.635
48307,1.378,2.836
48309,64.61,69.083
48311,0.08,0.18
48313,2.06,6.198
48315,,3.698
48317,,1.048
48319,0.219,2.215
48321,0.525,15.541
48323,61.7,13.32
48325,,14.039
48327,0.66,1.411
48329,21.6,31.581
48331,5.934,13.411
48333,8.112,3.735
48335,0.155,4.529
48337,0.23,7.687
48339,426.47,234.004
48341,1.165,11.131
48343,,2.785
48345,,0.763
48347,8.295,16.76
48349,1.05,20.553
48351,8.869,5.856
48353,0.477,8.007
48355,110.428,108.949
48357,,8.36
48359,,1.333
48361,,29.802
48363,0.81,10.023
48365,,21.146
48367,92.16,41.986
48369,,16.47
48371,1.275,19.866
48373,24.749,19.209
48375,24.445,46.541
48377,1.6,3.925
48379,1.544,4.695
48381,43.77,34.8
48383,0.375,8.387
48385,,1.977
48387,0.184,3.338
48389,59.33,14.635
48391,,2.084
48393,,4.694
48395,0.543,7.119
48397,110.61,33.323
48399,0.77,4.559
48401,8.195,19.023
48403,1.078,2.422
48405,0.38,3.145
48407,0.932,9.342
48409,24.09,25.299
48411,,2.536
48413,,0.778
48415,25.345,17.496
48417,0.343,0.77
48419,2.629,5.906
48421,,3.377
48423,23.465,52.718
48425,12.559,14.258
48427,3.4,17.988
48429,7.09,8.211
48431,2.955,3.25
48433,,2.044
48435,,1.684
48437,0.035,2.391
48439,386.67,694.577
48441,,39.312
48443,,3.503
48445,,8.158
48447,0.157,0.353
48449,156.632,15.038
48451,50.0,30.789
48453,731.864,721.63
48455,1.318,4.858
48457,0.037,10.725
48459,0.013,10.615
48461,0.377,0.848
48463,0.796,8.407
48465,32.445,12.378
48467,8.255,12.537
48469,37.203,27.147
48471,19.372,15.698
48473,0.72,20.981
48475,,18.07
48477,3.564,13.419
48479,65.762,80.3
48481,2.239,15.295
48483,0.552,1.24
48485,7.55,36.667
48487,,5.042
48489,89.926,9.78
48491,945.655,226.729
48493,0.513,12.317
48495,16.341,13.315
48497,37.255,32.09
48499,,15.961
48501,0.883,1.983
