county_fips,county_name,state_abbr,population,elec_res_mwh,elec_com_mwh,elec_ind_mwh,elec_total_mwh
33003,Carroll County,NH,47416,150004.703097665,136188.089181117,27471.68408783278,313664.4763666148
33005,Cheshire County,NH,76320,216372.913159262,227499.07572406103,133782.6748838675,577654.6637671905
33007,Coos County,NH,32219,88961.3967808408,74014.43025865429,59146.25763300591,222122.08467250102
33009,Grafton County,NH,89164,220758.927876969,310315.044616029,144249.7799752241,675323.752468222
33011,Hillsborough County,NH,404948,1169499.87656413,1499695.17066467,586561.5472701885,3255756.5944989887
33013,Merrimack County,NH,147715,400868.536909578,383219.767547898,113396.90106169756,897485.2055191735
33015,Rockingham County,NH,300365,941502.100623702,1313862.11471964,465281.24217272113,2720645.4575160635
33017,Strafford County,NH,125913,329719.73228411697,389513.286194223,283719.6523376233,1002952.6708159633
33019,Sullivan County,NH,43051,121454.432532782,95827.6889928648,71220.77796245116,288502.899488098
34001,Atlantic County,NJ,274026,835391.848274261,1749882.33635325,54252.16078728477,2639526.345414796
34003,Bergen County,NJ,930310,2790597.73769427,4051338.11409865,851110.2025287191,7693046.054321639
34005,Burlington County,NJ,450236,1513440.64239057,1795778.81729839,202400.89495607396,3511620.3546450334
34007,Camden County,NJ,511145,1551379.23825587,1962971.5588656599,286432.7931499496,3800783.5902714795
34009,Cape May County,NJ,95404,339205.48251196404,355023.515977316,16374.534237682994,710603.532726963
34011,Cumberland County,NJ,155744,484122.443405228,414285.491419761,319185.868390304,1217593.803215293
34013,Essex County,NJ,792586,1984821.49717155,3110849.56395332,484900.5090330513,5580571.570157922
34015,Gloucester County,NJ,291286,972716.0211808711,919303.836377998,533279.7458329278,2425299.603391797
34017,Hudson County,NJ,668526,1454406.07743926,3380496.70393566,210108.054763218,5045010.836138139
34019,Hunterdon County,NJ,125708,481485.457360468,542861.671125456,121075.42853412108,1145422.5570200451
34021,Mercer County,NJ,371101,1039322.07347363,1867703.95571332,173431.91728030425,3080457.9464672543
34023,Middlesex County,NJ,831852,2150451.2824519,4653355.31221935,924303.9811166113,7728110.575787861
34025,Monmouth County,NJ,627532,2313459.07694866,2750525.53522903,129017.3098283184,5193001.922006009
34027,Morris County,NJ,498215,1679829.13632177,2985830.64879657,264415.894385958,4930075.679504298
34029,Ocean County,NJ,586166,2173319.69966724,1531179.07209247,124624.63478115122,3829123.4065408614
34031,Passaic County,NJ,507204,1226818.38704372,1707073.59260652,364329.9357992029,3298221.9154494433
34033,Salem County,NJ,64504,230822.117291547,226198.74234182198,804957.6090174683,1261978.4686508374
34035,Somerset County,NJ,331686,1011303.66506866,1645447.21694661,412946.75920705637,3069697.6412223266
34037,Sussex County,NJ,144694,564476.938959663,476235.01855548,65400.06957140481,1106112.0270865478
34039,Union County,NJ,550436,1299217.5834465101,2117037.04233972,273126.0837154981,3689380.709501728
34041,Warren County,NJ,107095,392209.908144995,361529.69201054,152441.2988645144,906180.8990200493
35001,Bernalillo County,NM,674777,1761275.75707314,3603153.5124960598,1253054.2996204158,6617483.569189616
35003,Catron County,NM,3547,10898.1385520591,9081.69458480683,18646.62272793288,38626.45586479881
35005,Chaves County,NM,65610,253886.10548091502,582974.803296585,442098.301975357,1278959.210752857
35006,Cibola County,NM,27373,60629.342835635,13999.399893403699,45811.510170601505,120440.25289964021
35007,Colfax County,NM,12716,35393.5770782979,78469.9809356921,22810.641203397896,136674.19921738788
35009,Curry County,NM,50544,201551.687689333,427372.46928329096,204087.68402055625,833011.8409931802
35011,De Baca County,NM,1977,4375.84466349508,19086.3359493472,14000.241347441162,37462.42196028345
35013,Dona Ana County,NM,213825,604489.405262617,886688.135106792,457849.40167053894,1949026.942039948
35015,Eddy County,NM,56369,255802.465890486,447748.305806274,825736.1376777157,1529286.9093744757
35017,Grant County,NM,28879,91832.94084367441,84088.127925454,220170.02556710964,396091.09433623805
35019,Guadalupe County,NM,4469,8473.30913921148,38932.457398187194,14469.45357927984,61875.220116678516
35021,Harding County,NM,565,1547.1522387838402,3542.99176203423,9196.10515274822,14286.249153566288
35023,Hidalgo County,NM,4531,14196.2886161771,17711.1189372274,12780.706826960899,44688.1143803654
35025,Lea County,NM,68930,271218.586231723,680490.091169514,679251.4226358868,1630960.1000371238
35027,Lincoln County,NM,19726,60583.140685509505,98560.4330092464,23618.465727331615,182762.03942208752
35028,Los Alamos County,NM,17895,50455.109398118504,63717.383779999895,1063.0874253080895,115235.58060342648
35029,Luna County,NM,24627,65493.4322847884,63960.6229731654,53777.45799036208,183231.5132483159
35031,McKinley County,NM,74346,116606.799535675,161126.87719156,641027.1020462147,918760.7787734497
35033,Mora County,NM,4598,7339.46572413305,4871.7085505716595,40505.66776767677,52716.84204238148
35035,Otero County,NM,65333,183594.88877447,172202.37254687602,41710.25607149966,397507.5173928457
35037,Quay County,NM,8555,33110.0435684899,112293.804400922,51407.9920589515,196811.8400283634
35039,Rio Arriba County,NM,39924,79646.63773523299,59714.4315853929,92046.73344484527,231407.80276547116
35041,Roosevelt County,NM,19618,90322.87365503161,54791.4725059845,167257.33532618606,312371.6814872022
35043,Sandoval County,NM,138117,380989.077157632,319975.545415166,850969.2028833339,1551933.825456132
35045,San Juan County,NM,122537,304778.308359663,526054.603924953,297500.9549109292,1128333.8671955452
35047,San Miguel County,NM,28350,70262.8868860557,61473.8681718886,90283.13319548708,222019.8882534314
35049,Santa Fe County,NM,147320,388471.837690543,558724.5383191641,104255.15769785618,1051451.5337075633
35051,Sierra County,NM,11442,35754.4502783993,80130.26786962501,29136.624806130436,145021.34295415477
35053,Socorro County,NM,17324,30431.4828936141,54953.8691837565,54160.99318254944,139546.34525992005
35055,Taos County,NM,32961,69533.00124184591,74163.7128544819,82992.76834915805,226689.48244548586
35057,Torrance County,NM,15599,38263.089270239005,38063.1390854861,119152.41460032862,195478.64295605372
35059,Union County,NM,4292,12313.0966937913,14343.4040927379,41502.79863209094,68159.29941862014
35061,Valencia County,NM,75993,204465.386751257,193093.707450097,174208.0507801462,571767.1449815002
36001,Albany County,NY,307891,1049936.11756444,1831517.44908203,548319.5224984456,3429773.0891449153
