fips,treated,census17M,acfr,acfr_fy,acfr_qc,v2,v2_fy,v2_qc
48203,0,25.25,,,none,30272345.0,2024.0,ok
48209,0,70.28,,,none,85189021.0,2018.0,ok
48217,0,11.68,,,none,19364741.0,2024.0,ok
48221,1,22.77,,,none,54557457.0,2024.0,ok
48231,0,26.25,,,none,43964158.0,2024.0,ok
48237,0,2.04,6649313.0,2021.0,INCONSISTENT,,,none
48241,0,14.2,,,none,16782853.0,2023.0,ok
48245,0,80.4,,,none,113559750.0,2025.0,ok
48251,0,49.31,,,none,91420414.0,2025.0,ok
48257,0,37.66,,,none,93463770.0,2024.0,ok
48261,0,0.2,,,none,,,none
48265,0,19.39,,,none,,,none
48267,0,1.67,,,none,,,none
48275,1,1.35,,,none,,,none
48277,1,11.81,,,none,15643460.0,2022.0,ok
48279,0,9.29,,,none,8641234.0,2022.0,ok
48299,0,11.93,,,none,14371217.0,2021.0,ok
48303,0,82.41,,,none,103914504.0,2024.0,ok
48311,0,0.18,14721368.0,2022.0,x1000_high,,,none
48319,0,2.21,,,none,,,none
48325,1,14.04,,,none,31798581.0,2025.0,ok
48331,1,13.41,,,none,16602625.0,2024.0,ok
48349,1,20.55,,,none,31083291.0,2024.0,ok
48355,1,108.95,,,none,102751252.0,2024.0,ok
48359,0,1.33,,,none,,,none
48365,0,21.15,,,none,28593621.0,2024.0,ok
48367,0,41.99,,,none,72549343.0,2024.0,ok
48371,1,19.87,,,none,1927773.0,2024.0,INCONSISTENT
48373,0,19.21,,,none,28475529.0,2024.0,ok
48389,1,14.63,,,none,,,none
48391,0,2.08,,,none,8342846.0,2024.0,ok
48397,0,33.32,,,none,57493665.0,2025.0,ok
48407,0,9.34,,,none,15578936.0,2024.0,ok
48409,0,25.3,,,none,,,none
48413,0,0.78,,,none,,,none
48425,0,14.26,,,none,,,none
48427,0,17.99,,,none,20406664.0,2024.0,ok
48431,0,3.25,,,none,,,none
48433,0,2.04,,,none,,,none
48435,0,1.68,4593611.0,2022.0,ok,,,none
48441,1,39.31,,,none,67293475.0,2024.0,ok
48447,0,0.35,,,none,1648516.0,2021.0,INCONSISTENT
48449,0,15.04,,,none,,,none
48461,1,0.85,,,none,,,none
48473,0,20.98,,,none,25767668.0,2018.0,ok
48475,1,18.07,,,none,,,none
48477,0,13.42,,,none,27067271.0,2025.0,ok
48495,0,13.31,,,none,,,none
49003,0,16.37,,,none,4180687.0,2025.0,INCONSISTENT
49011,0,52.11,,,none,,,none
49035,1,302.27,,,none,,,none
49043,0,31.69,,,none,,,none
49049,1,46.73,,,none,77011204.0,2023.0,ok
51003,0,167.33,,,none,281918666.0,2024.0,ok
51013,0,863.06,,,none,144885030.0,2025.0,INCONSISTENT
51019,0,66.17,,,none,78906265.0,2024.0,ok
51047,1,60.82,,,none,80907432.0,2025.0,ok
51053,0,30.64,,,none,41139198.0,2024.0,ok
51061,1,136.7,,,none,198467458.0,2025.0,ok
51067,0,56.11,,,none,71890219.0,2025.0,ok
51083,0,26.82,,,none,33188444.0,2024.0,ok
51087,1,402.03,,,none,645718922.0,2024.0,ok
51093,0,53.9,,,none,69917627.0,2024.0,ok
51095,0,128.09,,,none,163483990.0,2024.0,ok
51103,0,17.5,,,none,24402433.0,2025.0,ok
51107,1,1134.53,,,none,2179709880.0,2024.0,ok
