county_fips,prop_tax_2017,capex_2017,lt_debt_2017,exp_curr_2017,n_dc_2017,first_dc_year,is_dc_host,dc_intensity,dc_per_capex,dc_per_debt
48279,22.819,3.306,14.409,55.132,0,,0,0.0,0.0,0.0
48281,26.498,1.017,58.646,48.917,0,,0,0.0,0.0,0.0
48283,61.736999999999995,6.119,50.632,20.56,0,,0,0.0,0.0,0.0
48285,32.997,1.41,41.604,58.44700000000001,0,,0,0.0,0.0,0.0
48287,28.688,2.019,60.757000000000005,40.34899999999999,0,,0,0.0,0.0,0.0
48289,32.271,5.841,59.577,39.794,0,,0,0.0,0.0,0.0
48291,106.124,65.59800000000001,309.456,174.22099999999998,0,,0,0.0,0.0,0.0
48293,46.399,3.560000000000001,63.455,68.55799999999999,0,,0,0.0,0.0,0.0
48295,15.624,0.613,6.697,16.334,0,,0,0.0,0.0,0.0
48297,32.721999999999994,9.151,65.188,23.905999999999995,0,,0,0.0,0.0,0.0
48299,55.80500000000001,6.3469999999999995,51.19799999999999,29.517,0,,0,0.0,0.0,0.0
48301,0.031,0.004,0.014,0.014,0,,0,0.0,0.0,0.0
48303,403.071,189.494,2027.803,1188.1229999999998,0,,0,0.0,0.0,0.0
48305,10.04,3.4400000000000004,34.076,37.61600000000001,0,,0,0.0,0.0,0.0
48307,12.171,0.891,27.056,20.014,0,,0,0.0,0.0,0.0
48309,373.396,49.81299999999999,1205.986,707.1869999999999,1,2014.0,1,0.0026781218866833065,0.020075080802200232,0.0008291970221876539
48311,21.346,5.269000000000001,21.724,4.795,0,,0,0.0,0.0,0.0
48313,19.691,14.617,34.725,35.876999999999995,0,,0,0.0,0.0,0.0
48315,5.246,0.146,6.39,16.569000000000003,0,,0,0.0,0.0,0.0
48317,52.187,21.511000000000003,62.133,37.702000000000005,0,,0,0.0,0.0,0.0
48319,6.853,4.426,4.872,11.438,0,,0,0.0,0.0,0.0
48321,97.567,4.057,154.714,162.14199999999997,0,,0,0.0,0.0,0.0
48323,48.044,1.753,196.553,166.517,0,2023.0,0,0.0,0.0,0.0
48325,61.735,45.715,212.094,133.399,0,2022.0,0,0.0,0.0,0.0
48327,4.361,0.124,2.479,6.021,0,,0,0.0,0.0,0.0
48329,355.327,34.576,834.1,683.144,0,2022.0,0,0.0,0.0,0.0
48331,38.017,3.569,77.38499999999999,60.67499999999999,0,2019.0,0,0.0,0.0,0.0
48333,9.495,3.532,18.304,17.608000000000004,0,,0,0.0,0.0,0.0
48335,18.96,6.061999999999999,51.434,44.81099999999999,0,,0,0.0,0.0,0.0
