county_fips,role,status,tier,baseline,baseline_fy,base_src,post,post_fy,post_src,cagr,hirisk,v2_2017
37077,control,USABLE,CENSUS_TRUST,39426000.0,2017.0,SINGLE_census,55561841.0,2025.0,v2,0.043816694895800756,False,
37087,control,USABLE,EXPANDED,47693000.0,2017.0,CONFIRMED,64453360.0,2025.0,v2,0.038362188536247954,False,
37105,control,USABLE,EXPANDED,44531000.0,2017.0,CONFIRMED,70117121.0,2025.0,v2,0.05838872209672408,False,
37133,control,USABLE,EXPANDED,93509000.0,2017.0,CONFIRMED,143734651.0,2025.0,v2,0.05520905241627028,False,
37147,control,USABLE,EXPANDED,91415000.0,2017.0,CONFIRMED,147092307.0,2025.0,v2,0.06125942932181205,False,
37149,control,USABLE,EXPANDED,16687000.000000002,2017.0,CONFIRMED,48649128.0,2025.0,v2,0.14310756605580632,False,
37161,treated,USABLE,PRIMARY,41522825.0,2017.0,VERIFIED,56044006.0,2024.0,verified,0.04377295488628885,False,
37193,control,USABLE,EXPANDED,40105000.0,2017.0,CONFIRMED,48171906.0,2025.0,v2,0.02317380679595704,False,
38009,control,USABLE,CENSUS_TRUST,3670000.0,2017.0,SINGLE_census,4197528.0,2023.0,acfr_wide,0.022636421661469397,False,
38015,control,USABLE,PRIMARY,20618764.0,2017.0,VERIFIED,25187609.0,2024.0,verified,0.029005649856054694,False,
38021,treated,USABLE,CENSUS_TRUST,3816000.0,2017.0,SINGLE_census,3438157.0,2023.0,acfr_wide,-0.017227739396087238,False,
38035,treated,USABLE,CENSUS_TRUST,22383000.0,2017.0,SINGLE_census,24503793.0,2024.0,acfr_wide,0.01301629537512361,False,
38053,control,SINGLE_census_nopost,,7631000.0,,,,,,,,
38059,control,USABLE,CENSUS_TRUST,14512000.0,2017.0,SINGLE_census,12272055.0,2024.0,v2,-0.02366563750663897,False,
38061,control,USABLE,EXPANDED,4120000.0,2017.0,VERIFIED,1660579.0,2023.0,verified,-0.14053725875688494,False,
38067,control,USABLE,CENSUS_TRUST,4453000.0,2017.0,SINGLE_census,3318201.0,2023.0,acfr_wide,-0.047843508898440024,False,
