treated_fips,treated_state,division,pt17_treated,pt17_control,control_fips,match_tier,log_dist,treated_growth,control_growth,treated_level_change,control_level_change
39089,39,East North Central,27.107,26.893,39133,state,0.007925967418738189,70.87099273250452,13.840032722269724,19.211,3.7219999999999978
39089,39,East North Central,27.107,27.933,39173,state,0.030016788460189847,70.87099273250452,83.71460279955609,19.211,23.384
39089,39,East North Central,27.107,30.341,39041,state,0.11270793605196916,70.87099273250452,37.94535447084802,19.211,11.512999999999998
41013,41,Pacific,7.874,7.49,41031,state,0.04999739499241729,69.41833883667768,29.73297730307076,5.466,2.2270000000000003
41013,41,Pacific,7.874,10.002,41019,state,0.23921888047516626,69.41833883667768,20.31593681263748,5.466,2.032
41013,41,Pacific,7.874,10.557,41011,state,0.2932229544860121,69.41833883667768,33.380695273278384,5.466,3.523999999999999
41049,41,Pacific,7.554,7.49,41031,state,0.008508426761136612,52.091607095578496,29.73297730307076,3.9350000000000005,2.2270000000000003
41049,41,Pacific,7.554,5.828,41033,state,0.25940333595730647,52.091607095578496,138.48661633493475,3.9350000000000005,8.070999999999998
41049,41,Pacific,7.554,5.769,41045,state,0.2695784690155125,52.091607095578496,27.023747616571335,3.9350000000000005,1.5590000000000002
41059,41,Pacific,15.0,14.869,41057,state,0.008771692387123942,33.67333333333333,32.3491828636761,5.050999999999998,4.809999999999999
41059,41,Pacific,15.0,14.008,41053,state,0.06842160611865955,33.67333333333333,7.624214734437484,5.050999999999998,1.0680000000000014
41059,41,Pacific,15.0,12.918,41035,state,0.14942851349192932,33.67333333333333,33.65071992568511,5.050999999999998,4.347000000000001
41065,41,Pacific,11.845,12.509,41009,state,0.05454254762185551,-8.341072182355436,32.35270605164282,-0.9880000000000013,4.047000000000001
41065,41,Pacific,11.845,12.664,41007,state,0.0668574849679624,-8.341072182355436,30.432722678458624,-0.9880000000000013,3.854000000000001
41065,41,Pacific,11.845,12.918,41035,state,0.08671584999953197,-8.341072182355436,33.65071992568511,-0.9880000000000013,4.347000000000001
41067,41,Pacific,199.849,163.582,41005,state,0.20024768772636392,25.459221712392875,31.10916849042071,50.880000000000024,50.88900000000001
41067,41,Pacific,199.849,203.616,06041,division,0.018673785658382513,25.459221712392875,40.863684582743986,50.880000000000024,83.20500000000001
41067,41,Pacific,199.849,165.384,06095,division,0.1892920386689827,25.459221712392875,39.4107047840178,50.880000000000024,65.179
45015,45,South Atlantic,28.773,29.521,45077,state,0.025664427083345043,8.928509366419913,20.710680532502263,2.568999999999999,6.113999999999997
45015,45,South Atlantic,28.773,29.695,45057,state,0.031541234053899636,8.928509366419913,84.54958747263849,2.568999999999999,25.107
45015,45,South Atlantic,28.773,26.262,45039,state,0.09131441997711054,8.928509366419913,0.4264717081714941,2.568999999999999,0.11199999999999832
45091,45,South Atlantic,97.44,97.751,45013,state,0.00318662503058853,-4.756773399014769,18.220785465110325,-4.634999999999991,17.810999999999993
45091,45,South Atlantic,97.44,112.7,45063,state,0.14549261708414374,-4.756773399014769,16.878438331854497,-4.634999999999991,19.022000000000006
45091,45,South Atlantic,97.44,101.22,12069,division,0.03805956182434489,-4.756773399014769,42.021339656194414,-4.634999999999991,42.53399999999999
47125,47,East South Central,114.851,96.703,47155,state,0.17199121034342113,5.624678931833427,59.92161566859353,6.460000000000008,57.946
47125,47,East South Central,114.851,82.504,28059,division,0.3307888590925758,5.624678931833427,7.274798797634041,6.460000000000008,6.001999999999995
48139,48,West South Central,35.068,35.513,48181,state,0.012609792904305639,96.84327592106766,20.474192549207327,33.961,7.271000000000001
48139,48,West South Central,35.068,33.731,48123,state,0.03887173789390985,96.84327592106766,33.65450179360232,33.961,11.351999999999997
48139,48,West South Central,35.068,36.667,48485,state,0.04458813426573638,96.84327592106766,31.911528077017493,33.961,11.701
48325,48,West South Central,14.039,14.047,48185,state,0.0005696788589584223,60.039888880974424,20.153769488146935,8.429,2.8309999999999995
48325,48,West South Central,14.039,14.107,48105,state,0.004831957102550799,60.039888880974424,-13.68115120153115,8.429,-1.9299999999999997
48325,48,West South Central,14.039,14.132,48019,state,0.006602558507084577,60.039888880974424,20.1528446079819,8.429,2.8480000000000008
49049,49,Mountain,46.728,43.862,49057,state,0.06329521515269487,49.223163841807896,57.29104919976289,23.000999999999998,25.128999999999998
49049,49,Mountain,46.728,52.107,49011,state,0.10895574000197694,49.223163841807896,34.763083654787266,23.000999999999998,18.114000000000004
49049,49,Mountain,46.728,31.692,49043,state,0.38827927363501313,49.223163841807896,153.530859522908,23.000999999999998,48.657000000000004
51047,51,South Atlantic,60.824,58.261,51109,state,0.04305153210686363,15.0713534131264,18.748390861811504,9.167000000000002,10.922999999999995
51047,51,South Atlantic,60.824,56.385,51015,state,0.07578128224188418,15.0713534131264,30.541810765274448,9.167000000000002,17.220999999999997
51047,51,South Atlantic,60.824,56.11,51067,state,0.08067039816325483,15.0713534131264,47.63143824630192,9.167000000000002,26.726
51061,51,South Atlantic,136.699,128.094,51095,state,0.06501705901595134,28.495453514656276,16.462129373741163,38.952999999999975,21.087000000000018
51061,51,South Atlantic,136.699,153.683,51199,state,0.11711061093834285,28.495453514656276,-31.578639146815192,38.952999999999975,-48.53099999999999
