county_fips,name,state,dc_class,treated_by_2022,oil_confound,mw_latest,dc_share_mid,pt_2017_final,pt_2022_final,fy_base,fy_post,pt_cagr_pct,src_2017_final,src_2022_final,qc_census_verified,pt_both_final
48135,Ector County,TX,crypto,True,True,207.0,4.12483709882472,46.39,56.843,2017.0,2022.0,4.147901486348116,census,census,no_verified_check,True
47125,Montgomery County,TN,clean_dc,True,False,120.0,4.037522038141125,82.790492,130.047446,2018.0,2024.0,7.816913247596258,verified,verified,no_verified_check,True
48139,Ellis County,TX,clean_dc,True,False,217.5,3.993287604835275,35.068,69.029,2017.0,2022.0,14.504911866765347,census,census,no_verified_check,True
51087,Henrico County,VA,clean_dc,True,False,316.3571096,3.934418010237838,402.026,556.115,2017.0,2022.0,6.704342408176345,census,census,no_verified_check,True
48389,Reeves County,TX,crypto,True,True,50.0,3.849885273418853,14.635,102.63,2017.0,2022.0,47.630578112070076,census,census,no_verified_check,True
36063,Niagara County,NY,mixed,True,False,265.5,3.8020581235160513,86.278,96.71,2017.0,2022.0,2.309099661758207,census,census,no_verified_check,True
19153,Polk County,IA,mixed,True,False,724.7114536,3.7627371525351214,149.192233,204.350096,2017.0,2024.0,4.596794679531202,verified,verified,FLAG_disagree,True
51047,Culpeper County,VA,clean_dc,True,False,46.10212,3.594595100347747,60.824,69.991,2017.0,2022.0,2.8474300960011245,census,census,no_verified_check,True
48355,Nueces County,TX,mixed,False,False,420.30736,3.387128010727732,80.173689,89.025606,2017.0,2019.0,5.3759579597618234,verified,verified,FLAG_disagree,True
31081,Hamilton County,NE,mixed,True,False,15.15,3.207706965911497,3.788383,5.019643,2017.0,2023.0,4.8020614583987875,verified,verified,validated_ok,True
39045,Fairfield County,OH,clean_dc,False,False,100.0,2.9794359331891287,27.079,47.774,2017.0,2022.0,12.024185923933173,census,census,no_verified_check,True
48003,Andrews County,TX,crypto,True,False,50.0,2.9254478860713578,25.711,30.893,2017.0,2022.0,3.7404728574334856,census,census,no_verified_check,True
37035,Catawba County,NC,clean_dc,True,False,83.44,2.8976045450441377,102.643115,135.725988,2017.0,2024.0,4.071859077291529,verified,verified,validated_ok,True
51193,Westmoreland County,VA,clean_dc,True,False,12.0,2.8390271600264976,17.089,24.796,2017.0,2022.0,7.729091055333748,census,census,no_verified_check,True
41067,Washington County,OR,clean_dc,True,False,527.98753,2.7842803098217805,199.849,265.027,2017.0,2023.0,4.816911032976678,verified,verified,validated_ok,True
26027,Cass County,MI,crypto,True,False,29.0,2.753826869753485,13.717,15.962,2017.0,2022.0,3.0779169593209144,census,census,no_verified_check,True
47105,Loudon County,TN,crypto,False,False,20.0,2.7485364043646756,15.388903,18.124876,2017.0,2023.0,2.764843133979844,verified,verified,FLAG_disagree,True
21145,McCracken County,KY,crypto,True,False,23.0,2.658590715738857,4.322,5.195,2017.0,2022.0,3.7481014100699817,census,census,no_verified_check,True
04013,Maricopa County,AZ,clean_dc,True,False,2042.7420747,2.413662077136343,592.884,776.251,2017.0,2022.0,5.537423740863412,census,census,no_verified_check,True
