county_fips,name,state,mw_latest,mw_peak,elec_total_mwh,population,dc_mwh,dc_mwh_low,dc_mwh_high,power_share,power_share_low,power_share_high,prop_tax_2017_M,dc_share_mid
13075,Cook County,GA,270.0,270.0,179700.48224193568,17103.0,2483460.0,1756161.0,3216672.0,1381.9996301715262,977.2711670498649,1790.0185686031195,11.024,122.4600870827286
48475,Ward County,TX,423.0,423.0,366421.31504347565,11396.0,3890754.0,2751318.9000000004,5039452.800000001,1061.8252378517784,750.8621324809006,1375.3164985508752,41.267,51.25160539898708
21127,Lawrence County,KY,250.0,250.0,219080.21477453617,15870.0,2299500.0,1626075.0,2978400.0,1049.6155494308346,742.2281385260901,1359.502044977081,6.5440000000000005,191.01466992665036
41059,Umatilla County,OR,795.4396,795.4396,725730.1233803981,76582.0,7316453.4408,5173777.790280001,9476549.21856,1008.1507167871843,712.906578299509,1305.795214124353,87.887,45.25354147939968
51107,Loudoun County,VA,4740.8181038,4740.8181038,4988276.329376039,362435.0,43606044.9187524,30835703.19254635,56480210.56143168,874.1705960023847,618.1634928874008,1132.2590576792793,1154.616,20.52984760214651
46119,Sully County,SD,30.0,30.0,31863.67401186426,1456.0,275940.0,195129.0,357408.0,866.0018298494244,612.3870082506644,1121.6785605668736,7.224,20.764119601328904
41065,Wasco County,OR,170.14655,170.14655,198041.33243402833,25657.0,1565007.9668999999,1106684.2051650002,2027057.9380799998,790.2431011068543,558.8147643541328,1023.5529690526873,37.559,22.650569770228177
35061,Valencia County,NM,414.0,414.0,571767.1449815002,75993.0,3807972.0,2692780.2000000007,4932230.4,666.000492232412,470.9574909357771,862.6292089867432,42.318,48.91535516801361
37069,Franklin County,NC,500.0,500.0,731752.9896962133,62989.0,4599000.0,3252150.0,5956800.0,628.4907700765625,444.4327588398549,814.0451879086905,19.05,131.23359580052494
39111,Monroe County,OH,100.0,100.0,159765.22054240725,14442.0,919800.0,650430.0000000001,1191360.0,575.7197948822992,407.11614066676884,745.6942105142161,23.859,20.9564524917222
48075,Childress County,TX,45.0,45.0,78735.21077546108,7059.0,413910.0,292693.50000000006,536112.0,525.6987260507859,371.744099135913,680.9050165991132,8.48,26.533018867924525
38105,Williams County,ND,480.0,480.0,846755.3851433246,31643.0,4415040.0,3122064.0,5718528.0,521.4067813991753,368.709081132274,675.3459263836938,90.964,26.3840640253287
17037,DeKalb County,IL,379.2,379.2,693757.6972375765,104458.0,3487881.5999999996,2466430.56,4517637.12,502.7521300142892,355.51757765296173,651.1837112566033,207.873,9.12095365920538
19155,Pottawattamie County,IA,598.5008,598.5008,1102314.6011894029,93198.0,5505010.3584,3892828.753440001,7130299.13088,499.40464840618705,353.1504299443752,646.8479255546804,171.98999999999998,17.399290656433514
13303,Washington County,GA,222.0,222.0,416980.7278259833,20680.0,2041956.0,1443954.6,2644819.2,489.7003299519781,346.28809046604164,634.278522604467,21.244,52.25004707211448
48349,Navarro County,TX,400.0,400.0,755263.0870202873,48177.0,3679200.0,2601720.0000000005,4765440.0,487.14150912835123,344.47863859790556,630.9642403948168,80.452,24.859543578779896
51117,Mecklenburg County,VA,316.082,316.082,611892.4127629554,31209.0,2907322.2359999996,2055892.1526000004,3765674.5152,475.13618004710975,335.9891558904563,615.4144808229231,32.485,48.65045405571803
19181,Warren County,IA,140.0,140.0,290107.6089600238,48170.0,1287720.0,910602.0000000001,1667904.0,443.8766720446292,313.8842180887021,574.9259752197102,67.586,10.357174562779274
51153,Prince William County,VA,1760.0950428,1760.0950428,3717265.750679491,443630.0,16189354.203674398,11448186.186884044,20969068.30190208,435.5178050080249,307.97330496996057,564.0992522008704,788.936,11.15486581167547
48389,Reeves County,TX,50.0,50.0,109622.87687870389,14438.0,459900.0,325215.00000000006,595680.0,419.5292197164946,296.66709108523554,543.3902274423168,64.937,3.849885273418853
37039,Cherokee County,NC,134.0,134.0,337633.745480434,27226.0,1232532.0,871576.2000000001,1596422.4000000001,365.05000359077724,258.1425025391925,472.8266713175782,19.427,34.48808359499665
18153,Sullivan County,IN,115.0,115.0,297225.1833622009,21026.0,1057770.0,747994.5,1370064.0,355.88168809740233,251.65919372602022,460.9515198213973,35.486000000000004,16.203573240151044
13097,Douglas County,GA,563.61326,563.61326,1535301.3819780285,138283.0,5184114.765479999,3665909.727018,6714662.934335999,337.66104989764074,238.77459957047458,437.3514551055157,127.743,22.06043618828429
39089,Licking County,OH,782.0,782.0,2223377.3852895815,169762.0,7192836.0,5086362.600000001,9316435.200000001,323.50945222298265,228.76739835768063,419.0217666888157,213.646,18.301302154030505
53025,Grant County,WA,748.029885,748.029885,2176456.480256897,92530.0,6880378.882229999,4865410.781005501,8911728.837936,316.1275653633964,223.54734979268753,409.4604656135421,103.564,36.11437782434051
19049,Dallas County,IA,231.1394666,231.1394666,687060.1030218343,78074.0,2126020.8137868,1503400.4326063802,2753703.14928576,309.4373846532661,218.81643629052397,400.7950886937542,144.296,8.009212542274215
