county_fips,first_oy,dom_oy,first50_oy,capwt_oy,cap50_oy,name,dc_class,first_op_year
48109,2024.0,2024.0,2024.0,2024.0,2024.0,Culberson County,crypto,2024.0
48125,2022.0,2022.0,2022.0,2022.0,2022.0,Dickens County,crypto,2022.0
48135,2022.0,2022.0,2022.0,2022.0,2022.0,Ector County,crypto,2022.0
48139,2019.0,2019.0,,2022.2,2023.0,Ellis County,clean_dc,2019.0
48173,2022.0,2023.0,2023.0,2022.8,2023.0,Glasscock County,crypto,2022.0
48221,2022.0,2023.0,2023.0,2023.0,2023.0,Hood County,crypto,2022.0
48275,2025.0,2025.0,2025.0,2025.0,2025.0,Knox County,clean_dc,2025.0
48277,2025.0,2025.0,,2025.0,2025.0,Lamar County,crypto,2025.0
48325,2022.0,2023.0,,2023.6,2023.0,Medina County,clean_dc,2022.0
48331,2019.0,2019.0,2019.0,2019.8,2019.0,Milam County,crypto,2019.0
48349,2025.0,2025.0,2025.0,2025.0,2025.0,Navarro County,crypto,2025.0
48355,2023.0,2023.0,2023.0,2023.2,2023.0,Nueces County,mixed,2023.0
48371,2021.0,2021.0,2021.0,2021.8,2021.0,Pecos County,mixed,2021.0
48389,2022.0,2022.0,2022.0,2022.0,2022.0,Reeves County,crypto,2022.0
48441,2022.0,2022.0,2022.0,2022.0,2022.0,Taylor County,mixed,2022.0
48461,2022.0,2022.0,,2022.0,2022.0,Upton County,crypto,2022.0
48475,2022.0,2022.0,2022.0,2022.0,2022.0,Ward County,mixed,2022.0
49035,2006.0,2025.0,2020.0,2020.1,2020.0,Salt Lake County,clean_dc,2006.0
49049,2013.0,2022.0,,2021.5,2022.0,Utah County,clean_dc,2013.0
51047,2008.0,2010.0,,2013.5,2011.0,Culpeper County,clean_dc,2008.0
51061,2014.0,2022.0,,2020.0,2022.0,Fauquier County,clean_dc,2014.0
51087,2010.0,2023.0,,2021.1,2023.0,Henrico County,clean_dc,2010.0
51107,2000.0,2018.0,2017.0,2019.6,2021.0,Loudoun County,clean_dc,2000.0
51117,2012.0,2030.0,,2020.7,2022.0,Mecklenburg County,clean_dc,2012.0
51153,2003.0,2025.0,2023.0,2021.8,2024.0,Prince William County,clean_dc,2003.0
51193,2020.0,2020.0,,2020.0,2020.0,Westmoreland County,clean_dc,2020.0
53017,2008.0,2017.0,,2015.5,2017.0,Douglas County,mixed,2008.0
53025,2008.0,2008.0,2008.0,2017.7,2018.0,Grant County,mixed,2008.0
53051,2024.0,2024.0,2024.0,2024.0,2024.0,Pend Oreille County,crypto,2024.0
54047,2021.0,2021.0,2021.0,2021.0,2021.0,McDowell County,crypto,2021.0
55101,2024.0,2024.0,2024.0,2024.0,2024.0,Racine County,clean_dc,2024.0
56021,2002.0,2020.0,2013.0,2016.8,2015.0,Laramie County,mixed,2002.0
