county_fips,dcname,mw_peak,oy,ann
37039,"Marble 2, NC",69.0,2018.0,2017.0
48331,Texas,742.0,2019.0,2018.0
31019,"Kearney, NE",100.0,2019.0,2019.0
13075,Cook County,270.0,2019.0,2019.0
21157,"Calvert City, KY",150.0,2019.0,2019.0
30093,Butte Montana,75.0,2020.0,2018.0
48331,"Rockdale, Texas",450.0,2021.0,2019.0
36089,"Massena, NY",50.0,2021.0,2018.0
42121,Scrubgrass,90.0,2021.0,2021.0
54047,Panther,90.0,2021.0,2020.0
38035,"Grand Forks, ND",100.0,2021.0,2021.0
36063,Tonawanda County,60.0,2021.0,2021.0
48371,Fort Stockton,325.0,2021.0,2021.0
18153,Sullivan,115.0,2022.0,2022.0
36063,Lake Mariner,153.0,2022.0,2021.0
48125,"Helios, Dicken County, TX",180.0,2022.0,2021.0
38105,Williston North Dakota,480.0,2022.0,2022.0
48221,Granbury/Wolf Hollow,100.0,2023.0,2022.0
13317,"Washington, GA",82.0,2022.0,2022.0
38093,Applied Dig JMS01,100.0,2022.0,2021.0
48135,"Odessa Facility, TX",207.0,2022.0,2021.0
13303,"Sandersville, GA",222.0,2022.0,2020.0
48475,Pyote Texas,370.0,2022.0,2021.0
48441,Project Artemis,200.0,2022.0,2021.0
48389,"Pecos, TX",50.0,2022.0,2021.0
39111,Hannibal,100.0,2022.0,2021.0
38021,"Ellendale, ND",180.0,2023.0,2022.0
42079,Nautilus Cryptomine,50.0,2023.0,2021.0
42007,"Midland, PA",100.0,2023.0,2022.0
48173,"Garden City, TX",200.0,2023.0,2022.0
48355,Saxet Energy Park,300.0,2023.0,2023.0
48355,Corpus Christi,100.0,2024.0,2023.0
48109,"Salt Creek, Culberson County, TX",63.0,2024.0,2023.0
39063,"Findlay, OH",90.0,2024.0,2024.0
42007,Beaver County,300.0,2024.0,2022.0
48349,"Corsicana, Texas",400.0,2025.0,2022.0
48221,Texas 3,65.4,2023.0,2022.0
21127,Louisa,250.0,2024.0,2022.0
48103,"King Mountain, TX (Echo)",280.0,2023.0,2022.0
36063,"Niagara Falls, NY (Alpha)",50.0,2023.0,2021.0
38021,"Ellendale, ND",180.0,2023.0,2022.0
48371,"Garden City, TX",100.0,2023.0,2022.0
48221,"McCamey, TX",200.0,2023.0,2022.0
53051,Ponderay,100.0,2024.0,2021.0
40101,Muskogee,200.0,2024.0,2024.0
48275,Project Kati,166.0,2025.0,2023.0
